name,ttm,12/31/2023,12/31/2022
MarketCap,"1,883,672,951","1,882,420,362","966,400,000"
EnterpriseValue,"2,911,072,951","2,531,220,362","889,800,000"
PeRatio,"13","11.711","5.517"
PsRatio,"0.714","0.667","0.299"
PbRatio,"1.463","1.628","0.357"
EnterprisesValueRevenueRatio,"1.074","0.893","0.275"
EnterprisesValueEBITDARatio,"8.75","7.677","2.651"
