name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
MarketCap,"14,562,876,531","10,158,089,960","3,833,761,455","8,904,450,000","12,158,400,000","7,332,400,000","6,616,640,000","10,980,107,417","4,784,936,162","2,984,515,184","3,164,998,401","802,845,939","312,109,779","102,123,891","83,219,251","41,005,076","36,840,498","32,999,384","33,446,765","17,873,821","40,090,548","18,860,984","7,153,203"
EnterpriseValue,"18,263,876,531","13,011,089,960","7,013,761,455","13,051,450,000","19,073,400,000","14,258,400,000","10,319,040,000","15,179,207,417","9,881,036,162","5,278,115,184","3,496,528,401","892,250,939","212,057,779","75,991,891","89,170,251","48,468,076","40,688,498","32,283,384","35,853,765","22,240,935","41,458,548","19,780,956","10,047,361"
PeRatio,"77.42","106.817","4.34","22.976","156.842","24.523","15.333","75.074",,,,,,,"17.067","25.6","12.778","15.375","11.545",,,"34.5","22"
ForwardPeRatio,"35.714","27.778","10.741","16.502","32.573","17.699","13.774","32.363","24.938","25.707","222.222",,,"833.333",,,,,,,,,
PegRatio,"6.485","2.575","1.413","0.565","2.482","0.617","0.469","0.682","0.624","0.643","5.576",,,,,,,,,,,,
PsRatio,"1.911","1.348","0.293","0.501","0.713","0.538","0.448","0.789","0.353","0.437","1.026","0.931","0.979","0.588","0.537","0.411","0.334","0.637","0.813","0.41","0.845","0.999","0.876"
PbRatio,"11.503","8.486","2.144","8.764","4.662","2.906","1.598","3.361","1.789","1.079","2.539","1.939","1.543","1.561","2.447","1.444","1.389","1.813","2.446","1.67","2.317","2.497",
EnterprisesValueRevenueRatio,"2.358","1.68","0.909","1.812","3.092","1.335","0.597","0.987","0.676","0.692","1.484","1.27","0.761","0.429","0.564","0.484","0.372","0.677","0.85","0.558","0.976","1.347","1.005"
EnterprisesValueEBITDARatio,"21.237","15.129","8.935","18.565","36.539","13.763","6.884","12.618","8.894","17.647","61.776","-27.883","-8.284","26.132","9.292","11.243","6.585","8.523","11.25","87.219","4.403","1.331","16.337"
