name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
MarketCap,"30,397,094,626","29,218,893,433","14,044,833,236","31,237,118,500","18,281,830,600","6,808,367,500","4,941,189,000","3,303,644,666","1,673,601,991","1,932,165,030","1,056,395,910"
EnterpriseValue,"29,796,676,626","28,408,938,433","13,497,033,236","30,781,260,500","17,884,993,600","6,436,070,500","4,693,451,000","3,105,334,666","1,560,618,991","1,828,272,030","1,062,218,910"
ForwardPeRatio,"86.207","86.957","97.087","277.778","285.714","98.039","119.048","192.308",,,
PegRatio,"5.729","2.687","2.856","6.053","9.467","1.953","2.368","3.819",,,
PsRatio,"13.786","13.96","8.457","25.934","21.333","10.297","10.071","9.312","6.609","11.781","9.803"
PbRatio,"23.026","24.629","15.694","37.545","24.946","10.835","21.539","15.898","13.768","15.56",
EnterprisesValueRevenueRatio,"13.73","13.09","7.797","23.666","20.254","9.537","9.149","8.267","5.759","10.049","9.167"
EnterprisesValueEBITDARatio,"-366.828","-349.743","-315.499","18,965.657","-2,667.014","7,680.275","-273.734","-147.368","-46.465","-47.97","-25.12"
