name,ttm,12/31/2023
MarketCap,"1,886,552,173","1,647,865,288"
EnterpriseValue,"1,079,096,173","993,118,288"
PeRatio,"3.804","56.842"
PsRatio,"0.815","1.215"
PbRatio,"0.815","0.916"
EnterprisesValueRevenueRatio,"0.469","0.776"
