name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
MarketCap,"1,425,975,983","1,786,116,286","1,900,569,960","1,889,345,135","1,829,423,928","2,096,803,654","1,599,736,198","2,029,522,587","2,005,452,729","1,476,235,430","1,913,707,880","1,193,543,909","867,044,059","716,709,471","498,891,621"
EnterpriseValue,"2,049,359,983","2,416,599,286","1,742,368,960","1,785,200,135","1,970,286,928","2,392,841,654","1,847,644,198","2,200,445,587","2,060,311,729","1,396,632,430","1,827,481,880","1,130,345,909","699,385,059","542,289,471","251,454,621"
PeRatio,"11.417",,"13.323","3.599","16.271",,,,,,,,,,
ForwardPeRatio,,,,,"9.276","16.103","43.103",,,,,,,,
PsRatio,"3.198","4.309","5.343","4.61","4.526","4.777","5.063","7.615","9.184","12.203","49.27","29.13","7.847","23.824","23.404"
PbRatio,"2.59",,"3.229","3.258","309.862",,,,"37.832","16.526","19.948","16.705","8.289","10.675","6.433"
EnterprisesValueRevenueRatio,"4.629","5.458","4.244","4.315","5.058","5.585","5.33","7.377","7.521","9.339","23.909","49.401","4.655","8.233","5.734"
EnterprisesValueEBITDARatio,"-2.216","-2.613","6.665","7.652","13.885","23.662","-12.791","-373.654","-65.835","-13.974","-11.706","-4.708","-11.42","-9.898","-4.745"
