name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"3,043,369,478","2,687,036,265","2,153,886,999","1,858,946,775"
EnterpriseValue,"3,054,767,478","2,725,973,265","2,070,772,999","1,826,286,775"
PeRatio,"91.444","57.87","40.471","22.041"
ForwardPeRatio,"20.325","31.25","33.445","22.472"
PsRatio,"12.425","12.76","14.811","12.21"
PbRatio,"1.792","1.471","1.633","1.47"
EnterprisesValueRevenueRatio,"12.392","13.896","14.282","11.75"
EnterprisesValueEBITDARatio,"72.508","58.765","18.596","11.614"
