name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
MarketCap,"5,222,393,249","4,994,585,835","3,896,273,925","7,089,795,698","5,864,907,251","4,484,860,590","3,975,939,292","7,508,780,462"
EnterpriseValue,"3,720,193,249","3,551,385,835","2,660,273,925","5,765,795,698","4,803,207,251","3,443,860,590","2,885,439,292","6,501,280,462"
PeRatio,"13.439","14.852","8.943","10.979","72.244","11.319","4.308","35.63"
ForwardPeRatio,"12.005",,"11.468","10.373","12.151","10.101","7.418","14.728"
PegRatio,"14.462",,,"1.462",,,"5.752","1.139"
PsRatio,"2.432","2.363","1.611","2.64","2.631","2.182","1.769","33.489"
PbRatio,"1.135","1.121","0.918","1.526","1.299","0.95","0.816","1.704"
EnterprisesValueRevenueRatio,"1.77","1.69","1.207","2.084","2.09","1.571","1.251","3.575"
EnterprisesValueEBITDARatio,"6.613","6.312","6.339","6.618","18.084","5.209","3.899","12.695"
