name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
MarketCap,"1,283,332,523","1,711,012,618","2,251,245,033","7,971,658,760","5,134,815,660","3,443,027,040","2,470,115,400","1,839,869,907","1,237,972,471","1,106,261,520","1,186,225,920","893,643,873","498,762,000","548,767,604","477,248,574","373,816,624","382,294,623","932,464,418","528,966,918","313,936,788","278,672,603","385,252,880","58,612,745","192,833,345"
EnterpriseValue,"1,417,583,523","1,864,903,618","2,590,580,033","8,015,847,760","5,022,757,660","3,445,904,040","2,610,784,400","2,024,736,907","1,413,929,471","1,048,504,520","1,082,038,920","777,453,873","436,449,000","361,363,604","293,539,574","204,586,624","261,855,623","883,514,418","480,016,918","284,079,788","251,297,603","352,033,880","38,629,745","169,357,345"
PeRatio,,,"50.42","104.301","137.954","63.844","54.679",,"154.091","35.318","43.013","39.891","31.638","82.6","96.333","1,169","32.132","21.039","66.536",,"28.947","55.862",,
ForwardPeRatio,,,,"42.735","37.037","26.81","25.189","24.155","19.646","19.531","24.691","23.81","15.823","23.419","26.455",,,,,,,,,
PegRatio,,,,,,,"12.601",,,,"1.373","1.321","0.879","0.826","1.028",,,,,,,,,
PsRatio,"1.102","1.428","1.834","7.823","5.869","4.034","3.233","2.621","1.905","2.405","2.855","2.457","1.62","2.345","2.177","1.756","1.605","4.274","3.636","2.563","2.46","4.017","0.703","1.056"
PbRatio,"1.079","1.441","1.987","7.173","5.591","4.264","3.989","3.945","2.904","2.825","3.131","2.498","1.622","1.972","1.798","1.543","1.637","3.662","6.636","5.95","5.19","11.084","3.595","9.838"
EnterprisesValueRevenueRatio,"1.236","1.626","1.999","7.081","5.63","3.841","3.316","2.841","2.032","2.164","2.454","2.043","1.39","1.472","1.32","0.958","1.04","4.146","3.103","2.338","2.028","3.447","0.441","1.949"
EnterprisesValueEBITDARatio,"23.358","30.728","26.749","45.952","46.889","24.186","27.269","32.315","17.726","14.804","15.49","14.487","10.79","14.973","15.799","19.237","8.819","38.706","37.001","149.516","16.976","30.77","-40.749","89.323"
