name,ttm
MarketCap,"11,828,691,920"
EnterpriseValue,"19,165,691,920"
PeRatio,"179.219"
ForwardPeRatio,"12.019"
PsRatio,"1.432"
PbRatio,"3.706"
EnterprisesValueRevenueRatio,"2.321"
EnterprisesValueEBITDARatio,"11.979"
