name,ttm,11/30/2023,11/30/2022,11/30/2021,11/30/2020,11/30/2019
MarketCap,"7,451,107,222","6,154,920,875","6,508,386,538","10,222,309,140","7,317,383,849","6,607,191,716"
EnterpriseValue,"9,232,807,222","7,967,520,875","8,012,514,538","11,242,265,140","8,529,769,849","6,697,760,716"
PeRatio,"30.194","22.449","11.723","23.036",,"16.622"
ForwardPeRatio,"15.552","11.628","12.24","16.502","17.422",
PsRatio,"1.217","1.014","1.069","1.91","1.588","1.139"
PbRatio,"3.641","3.17","3.558","6.35","6.143","4.523"
EnterprisesValueRevenueRatio,"1.494","1.289","1.299","1.95","1.916","1.162"
EnterprisesValueEBITDARatio,"19.38","16.724","9.605","14.118","249.394","10.03"
