name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004
MarketCap,"3,633,734,657","3,330,801,379","2,762,335,920","2,207,050,410","2,073,860,589","1,325,082,208","1,069,325,549","1,570,127,493","1,046,816,395","832,927,950","664,971,476","693,876,442","331,465,571","320,973,277","307,883,086","223,333,091","153,561,494","226,092,621","223,696,776","308,691,298","152,067,780","115,869,850"
EnterpriseValue,"3,277,532,657","2,994,459,379","2,382,638,920","1,942,979,410","1,760,303,589","1,121,846,208","921,609,549","1,475,083,493","972,655,395","793,966,950","631,433,476","699,825,442","367,356,571","380,227,277","267,370,086","148,345,091","78,540,494","152,482,621","164,095,776","250,669,298","105,610,780","85,094,850"
PeRatio,"25.324","20.216","11.618","13.197","33.032","16.158","15.384","31.764","31.04","30.743","30.637","46.976","64.284","21.269","110.146",,"337.143","36.884","16.803","22.187","16.562","18.897"
ForwardPeRatio,,,,,,,,,,,,"27.174","26.525","1,111.111","344.828",,,,,,,
PsRatio,"2.031","1.871","1.322","1.565","1.983","1.28","1.13","1.928","1.405","1.248","1.214","1.213","0.753","0.843","1.803","1.924","1.499","1.645","1.251","1.73","1.007","0.903"
PbRatio,"3.487","3.302","2.891","2.738","3.134","2.234","2.101","3.608","2.726","2.42","2.119","2.43","1.893","1.929","2.043","1.532","1.037","1.545","1.644","2.469","1.404","1.183"
EnterprisesValueRevenueRatio,"1.77","1.618","1.097","1.361","1.666","1.071","0.956","1.784","1.292","1.174","1.134","1.37","0.829","0.994","1.556","1.283","0.745","1.075","0.88","1.323","0.671","0.66"
EnterprisesValueEBITDARatio,"15.925","12.74","7.135","10.66","20.029","9.95","9.239","20.33","16.771","15.727","14.617","20.369","14.275","9.79","62.324","-30.796","209.441","20.786","8.15","10.821","6.371","7.995"
