name,ttm,12/31/2022,12/31/2021
MarketCap,"976,990,664","1,719,825,000","1,695,675,000"
EnterpriseValue,"979,938,679","1,716,615,826","1,691,073,593"
PeRatio,"126.826","33.769",
PbRatio,"1.866","1.29",
EnterprisesValueEBITDARatio,"-152.852","-740.823","-712.02"
