name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
MarketCap,"1,287,821,622","1,501,000,544","1,558,451,283","1,978,491,952","362,285,269","201,529,341","402,318,875","389,620,000"
EnterpriseValue,"3,474,493,622","3,549,132,544","3,286,591,283","3,562,565,952","1,115,018,269","887,457,341","402,297,515","388,677,083"
PeRatio,"25.524","22.889","23.407",,,,,
ForwardPeRatio,"15.314","15.456","26.316","38.023",,,,
PsRatio,"0.706","0.834","1.281","1.317","1.218","0.524",,
PbRatio,"1.404","1.643","1.804","2.305",,,"1.282",
EnterprisesValueRevenueRatio,"1.863","1.903","2.089","3.052","3.683","3.361","1.633",
EnterprisesValueEBITDARatio,"8.508","8.691","9.152","33.981","11.526","8.287","3.657",
