name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
MarketCap,"1,840,766,570,000","1,755,459,040,000","1,145,003,890,000","1,917,098,341,290","1,183,171,312,840","921,138,319,230","723,558,708,460","729,458,189,676","539,067,897,721","528,168,435,200","359,503,564,697","376,366,922,148","233,427,144,597","209,849,680,199","190,843,154,713","197,012,284,464","96,834,102,858","216,322,938,560","142,200,806,310","122,611,098,453","52,711,860,998"
EnterpriseValue,"1,758,354,570,000","1,664,570,040,000","1,057,666,890,000","1,802,955,341,290","1,076,996,312,840","813,709,319,230","621,128,708,460","633,279,189,676","459,949,897,721","460,632,435,200","304,684,564,697","326,874,922,148","190,827,144,597","173,393,680,199","160,933,154,713","172,527,509,464","80,988,331,858","202,104,325,560","134,570,669,310","114,980,961,453","50,581,465,998"
PeRatio,"25.464","26.761","17.541","27.921","33.894","28.755","39.21","35.243","28.996","36.019","28.236","32.226","21.814","22.028","22.598","30.406","23.137","52.081","59.15","104.303","132.071"
ForwardPeRatio,"21.787","20.964","16.502","25.707","30.581","24.57","22.026","25.575","19.455","23.095","17.889","22.371","16.155","14.684","17.575",,,,,,
PegRatio,"1.544","1.316","1.244","0.834","1.539","1.865","1.07","1.307","1.179","2.161","1.43","1.488","1.102","0.723","0.923",,,,,,
PsRatio,"6.112","6.019","4.155","8.239","7.044","6.046","5.667","7.074","6.466","7.489","5.357","6.594","4.69","5.9","6.555","8.381","4.486","13.189","15.326","23.35","16.528"
PbRatio,"6.48","6.371","4.47","7.843","5.558","4.729","4.279","4.659","4.085","4.6","3.658","4.535","3.255","3.827","4.127","5.472","3.429","9.534","9.877","13.944","17.996"
EnterprisesValueRevenueRatio,"5.72","5.415","3.74","6.998","5.9","5.027","4.54","5.713","5.095","6.143","4.616","5.888","4.145","4.574","5.489","7.295","3.716","12.179","12.689","18.731","15.86"
EnterprisesValueEBITDARatio,"17.948","16.99","12.42","17.416","17.395","15.798","14.097","18.508","15.121","18.56","13.639","16.41","10.894","12.181","13.194","17.418","9.959","33.394","32.647","47.196","63.261"
