name,ttm,12/31/2023
MarketCap,"1,873,931,465","1,118,513,222"
EnterpriseValue,"1,619,453,535","718,091,222"
ForwardPeRatio,"1.023","294.118"
PsRatio,"7.171","4.664"
PbRatio,"3.675","2.033"
EnterprisesValueRevenueRatio,"6.162","2.959"
EnterprisesValueEBITDARatio,"-0.435","-1.861"
