name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
MarketCap,"830,196,156","963,510,298","2,077,462,246","1,424,519,948","1,038,603,726","533,215,405","800,892,221","1,502,045,958","1,708,109,523","1,679,576,324","2,611,757,552"
EnterpriseValue,"3,612,978,156","3,121,263,298","4,000,514,802","3,536,806,131","2,929,439,808","367,069,462","616,499,357","1,180,613,437","1,531,092,631","1,610,588,562","2,415,654,256"
PeRatio,"103",,"15.649",,"23.483",,,"9.1","11.152",,"36.043"
ForwardPeRatio,"6.566","21.834","12.315","30.581","9.268","135.135","8.019","10.03","12.255","13.87","15.949"
PegRatio,,,,,,"13.476",,"1.003","1.226","1.388",
PsRatio,"0.258","0.364","1.031","1.053","0.649","0.419","0.644","1.313","1.779","0.914","1.368"
PbRatio,"3.416","3.854","9.146",,"4.939","1.127","1.528","3.02","4.663","3.119","4.253"
EnterprisesValueRevenueRatio,"1.109","1.096","1.818","3.29","1.596","0.264","0.488","1.042","1.454","1.69","2.42"
EnterprisesValueEBITDARatio,"15.916","6.543","6.657","24.63","4.879","1.409","2.014","4.446","6.648","23.619","49.145"
