name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"262,523,065","334,701,517","352,429,013","628,240,181"
EnterpriseValue,"668,935,065","774,287,517","458,377,013","590,836,181"
PeRatio,,,"8.142","3.996"
ForwardPeRatio,"6.105","9.756","10.526","22.727"
PsRatio,"0.426","0.627","0.677","2.134"
PbRatio,"3.504","4.421","4.195","9.789"
EnterprisesValueRevenueRatio,"1.712","1.982","1.121","1.79"
EnterprisesValueEBITDARatio,"-18.365","-21.258","1.479","1.38"
