name,ttm,12/31/2023
MarketCap,"1,987,757,750","1,956,665,228"
EnterpriseValue,"2,445,657,750","2,445,065,228"
PeRatio,"11.639","15.04"
PsRatio,"1.222","1.213"
PbRatio,"24.631","56.88"
EnterprisesValueRevenueRatio,"1.502","1.502"
EnterprisesValueEBITDARatio,"8.936","8.933"
