name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
MarketCap,"30,729,662,157","31,404,643,295","33,821,978,042","30,201,890,307","24,737,842,782","30,092,999,640","24,543,660,000","26,340,344,305","22,452,323,894","18,831,110,000","19,332,757,697","16,189,986,050","16,266,105,103","18,168,875,191","14,455,421,676","12,771,451,553","10,652,401,729","13,293,995,279","12,375,924,485","11,364,103,067","10,609,995,506","9,713,387,862","9,168,045,639","8,567,678,958","8,163,213,943","7,316,895,309","12,180,527,907","9,655,075,650","6,844,054,625","7,459,027,500","6,044,915,500","7,516,639,625","7,632,031,500","6,535,803,125","5,391,981,000","6,644,897,875","5,300,860,500","4,756,911,500","5,585,302,125","4,775,905,500"
EnterpriseValue,"54,550,662,157","54,636,643,295","59,810,978,042","54,320,890,307","48,481,842,782","51,643,999,640","42,304,660,000","41,965,344,305","36,993,323,894","32,179,110,000","31,740,757,697","27,938,986,050","27,181,105,103","29,009,875,191","24,800,421,676","23,110,451,553","20,885,401,729","22,577,995,279","21,303,924,485","19,145,103,067","18,015,995,506","16,971,387,862","16,103,978,639","14,673,089,958","13,996,522,943","12,530,895,309","16,640,227,907","14,547,775,650","11,447,354,625","11,844,527,500","10,441,515,500","7,516,639,625","7,632,031,500","6,535,803,125","5,391,981,000","6,644,897,875","5,300,860,500","4,756,911,500","5,585,302,125","4,775,905,500"
PeRatio,"12.336","13.437","20.065","25.469","17.844","21.337","15.292","21.398","18.193","17.231","15.568","15.749","14.389","16.72","14.285","14.468","11.586","14.118","17.48","17.819","18.858","18.225","13.681","12.573","12.419","11.022","17.393","13.898","9.94","10.726","8.67","12.077","13.262","12.338","10.096","11.888","10.022","9.446","11.062","9.272"
ForwardPeRatio,"16.75","17.036","19.646","18.868","16.129","19.92",,"19.96","17.637","15.798","16.892","12.376","12.063","16.695","14.104",,"12.547",,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"2.559","2.664","3.607","5.227","4.738","3.546",,"4.917","6.504","6.718","8.944","10.486","4.37","4.36","3.349",,"3.768",,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"2.119","2.096","2.251","2.227","1.976","2.34","1.931","2.216","1.825","1.492","1.499","1.313","1.342","1.39","1.064","0.963","0.784","0.995","0.953","1.049","1.06","0.971","1.081","0.892","0.907","1.031","1.747","1.353","0.983","1.153","0.945","1.201","1.269","1.113","0.94","1.232","1.042","0.95","1.082","0.886"
PbRatio,"1.452","1.491","1.631","1.507","1.338","1.676","1.545","1.744","1.575","1.444","1.521","1.331","1.37","1.557","1.282","1.221","1.098","1.465","1.561","1.549","1.504","1.512","1.548","1.512","1.473","1.352","2.021","1.628","1.195","1.347","1.136",,,,,,,,,
EnterprisesValueRevenueRatio,"3.72","3.726","3.817","3.972","3.959","4.107","3.429","3.488","3.064","2.563","2.457","2.262","2.23","2.251","1.861","1.773","1.538","1.721","1.781","1.688","1.852","1.73","1.895","1.563","1.484","1.673","2.346","2.022","1.605","1.812","1.638","1.2","1.286","1.113","0.94","1.197","1.038","0.934","1.075","0.869"
EnterprisesValueEBITDARatio,"9.006","9.02","11.716","12.534","11.618","11.708","10.471","10.319","9.596","8.986","9.555","8.515","8.237","9.239","8.267","8.493","7.684","8.981","9.473","9.218","10.116","8.606","8.121","6.925","7.289","6.44","8.407","7.591","6.006","6.254","5.505","1.2","1.286","1.113","0.94","1.197","1.038","0.934","1.075","0.869"
