name,ttm,12/31/2023,12/31/2022
MarketCap,"1,159,296,739","101,054,401","109,650,975"
EnterpriseValue,"1,159,777,739","111,493,401","53,206,975"
PeRatio,"29.911",,
ForwardPeRatio,"23.474",,
PsRatio,"3.774","0.405","0.586"
PbRatio,"7.44","1.286","0.889"
EnterprisesValueRevenueRatio,"3.632","0.454","0.286"
EnterprisesValueEBITDARatio,"19.626","-3.587","-0.472"
