name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
MarketCap,"1,260,004,569","670,368,393","391,014,276","465,232,320","839,843,206"
EnterpriseValue,"1,062,779,569","453,614,393","184,539,276","283,758,320","754,329,206"
PsRatio,"56.587","39.069","20.975","8.204",
PbRatio,"6.396","3.242","1.934","2.6",
EnterprisesValueRevenueRatio,"60.915","26","7.148","4.976",
EnterprisesValueEBITDARatio,"-8.064","-3.442","-3.091","-21.082","-28.04"
