name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"1,377,612,739","545,484,505","419,268,713","549,115,224"
EnterpriseValue,"1,230,863,739","524,204,505","297,186,713","181,164,224"
PsRatio,"1.668","1.715","1.379","0.691"
PbRatio,"5.891","3.788","2.925","4.386"
EnterprisesValueRevenueRatio,"1.423","0.847","0.459","0.229"
EnterprisesValueEBITDARatio,,"-5.356","25.813","3.297"
