name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019
MarketCap,"802,997,980","269,552,492","109,633,818","300,303,432","335,755,287"
EnterpriseValue,"642,876,980","183,657,492","-9,626,182","183,562,432","264,714,287"
PbRatio,"4.99","3.172","0.94","2.556",
EnterprisesValueEBITDARatio,"-9.687","-3.468","0.211","-5.483","-14.248"
