name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
MarketCap,"1,078,110,837","907,333,760","853,223,208","797,619,266","980,010,238","811,227,665","1,246,422,860","1,261,043,799","1,488,220,827","969,038,001","984,893,783","1,036,398,006","996,526,730"
EnterpriseValue,"2,152,991,837","2,111,164,760","1,809,353,208","1,686,998,266","1,934,417,238","1,445,532,665","1,832,124,860","1,901,350,799","2,072,753,827","1,557,799,001","1,405,347,783","1,356,722,006","990,888,730"
PeRatio,"7.396","5.674","7.537",,,,"71.806","451.304","409.667","48.841",,"110.13","9.867"
ForwardPeRatio,"8.726",,,,"14.43","12.005",,,,,"100",,"15.773"
PegRatio,,,,,,,,,,,"87.611",,"3.946"
PsRatio,"0.777","0.704","0.871","0.942","1.16","0.982","1.307","1.669","2.239","1.452","1.523","1.717","1.426"
PbRatio,"0.855","0.796","0.888","0.948","1.026","0.796","1.781","1.964","2.789","1.183","1.084","1.01","0.914"
EnterprisesValueRevenueRatio,"1.531","1.566","1.609","2.063","2.181","1.822","1.963","2.187","3.074","2.155","2.18","2.244","1.808"
EnterprisesValueEBITDARatio,"3.739","4.483","3.805","6.321","6.231","8.155","8.59","9.372","14.639","7.274","17.185","15.071","7.037"
