name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2008,12/31/2007,12/31/2006
MarketCap,"3,536,346,500","2,985,089,647","2,591,679,546","2,520,120,677","2,931,821,363","1,869,854,320","2,040,019,915","1,700,106,188","1,884,801,582","1,796,012,959","1,335,000,000","1,085,127,966","626,500,000","773,000,000","555,000,000","1,256,000,000","1,113,000,000"
EnterpriseValue,"4,018,437,472","3,367,375,412","2,617,279,760","2,605,476,705","3,019,615,434","2,021,800,027","2,180,319,039","1,800,831,401","2,035,817,461","1,946,777,884","1,196,341,597","1,158,023,045","670,399,858","837,062,814","545,799,870","1,094,730,929","959,997,582"
PeRatio,"13.951","16.669","25.655","31.133","17.018","14.629","20.255","20.693","29.181","20.807","18.74","17.024","4.161","4.766","13.96","437.952","31.923"
ForwardPeRatio,"13.55","13.717","17.065","22.422","15.848","12.595","16.921","18.282","22.936","192.308","138.889","19.802","13.055","20.284","17.731",,
PegRatio,"17.05",,,,"1.751","1.999","1.522","0.996","1.619","34.3","1.448","0.206","4.352","6.766","1.183",,
PsRatio,"4.557","5.718","6.922","8.357","6.735","4.779","6.227","6.79","7.655","7.203","5.113","4.434","3.387","3.586","3.804","7.204","8.221"
PbRatio,"7.363","9.491","4.413","4.812","6.17","5.417","6.788","5.887","5.895","4.588","2.96","2.174","1.528","1.216",,"1.83","2.082"
EnterprisesValueRevenueRatio,"0.31","0.282","0.3","0.485","0.354","0.256","0.306","0.324","0.453","0.522","0.35","0.369","0.24","0.325","0.274","0.577","0.569"
EnterprisesValueEBITDARatio,"0.543","0.497","0.541","1.11","0.56","0.434","0.605","0.557","0.877","1.114","0.81","0.828","0.631","0.944","0.518","1.029","1.046"
