name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
MarketCap,"2,425,556,066","2,507,394,554","1,694,417,176","1,747,641,518","1,629,179,291","1,465,157,074","901,759,036","1,312,948,310","875,959,019","591,316,035","545,630,582","732,559,191","391,215,010","320,796,326","330,292,365","202,190,422","148,332,838","177,518,541","229,005,001","199,883,384","264,485,682","148,434,920","119,037,035","138,240,646","126,763,352","96,950,000","111,360,368","210,048,280","164,228,750","172,386,000","121,840,500","118,599,006"
EnterpriseValue,"2,614,209,066","2,717,760,554","1,982,582,176","1,952,726,518","1,909,753,291","1,555,183,074","954,068,036","1,370,156,310","954,864,019","724,137,035","697,843,582","679,545,191","343,630,010","327,209,326","325,474,365","234,205,422","247,870,838","254,954,541","308,169,001","226,675,384","283,294,682","161,147,920","143,870,035","173,382,646","141,241,352","97,586,000","144,957,368","238,603,280","198,328,750","192,586,000","143,940,500","140,699,006"
PeRatio,"17.893","18.817","18.342","25.332","28.096","21.172","15.131","27.067","20.026","13.856","16.589","21.521","13.6","11.174","15.629","10.394","13.468","14.613","22.343","15.299","19.971","18.61","18.846","12.838","11.261","15.873","27.233","15.382","18.819","13.043","14.145","14.584"
ForwardPeRatio,,,,,,,,"21.978","19.011","12.579","11.403","15.337","10.173",,,,,,,,,,,,,,,,,,,
PsRatio,"1.442","1.517","1.153","1.361","1.389","1.377","0.912","1.504","1.017","0.679","0.765","1.118","0.626","0.56","0.631","0.398","0.267","0.358","0.545","0.549","0.783","0.535","0.462","0.567","0.618","0.551","0.555","1.033","0.901","0.966","1.092","1.285"
PbRatio,"2.6","2.833","2.299","2.527","2.692","2.659","1.815","2.927","2.251","1.67","1.617","2.153","1.261","1.163","1.304","0.859","0.805","0.893","1.287","1.21","1.644","1.03","0.912","1.135","1.114","0.897","1.042","1.977","1.688","1.903","2.466","2.844"
EnterprisesValueRevenueRatio,"1.547","1.608","1.31","1.464","1.641","1.39","0.946","1.502","1.13","0.823","0.832","0.996","0.543","0.542","0.604","0.525","0.445","0.505","0.675","0.616","0.828","0.577","0.555","0.705","0.654","0.553","0.723","1.175","1.08","1.175","1.204","1.59"
EnterprisesValueEBITDARatio,"10.491","10.907","10.148","11.87","13.696","12.411","7.748","12.726","10.741","7.567","9.029","11.059","6.246","5.367","7.466","5.245","7.283","7.76","9.562","8.944","9.77","8.107","8.472","6.75","6.01","6.125","10.12","8.775","9.585","8.23","7.616","9.318"
