name,ttm
MarketCap,"2,043,167,863"
EnterpriseValue,"2,028,938,863"
PeRatio,"182.079"
ForwardPeRatio,"33.333"
PsRatio,"5.541"
PbRatio,"5.406"
EnterprisesValueRevenueRatio,"5.505"
EnterprisesValueEBITDARatio,"42.018"
