name,ttm,12/31/2023,12/31/2022
MarketCap,"2,053,028,862","578,196,739","96,840,121"
EnterpriseValue,"2,039,275,862","706,761,739","231,234,121"
ForwardPeRatio,"27.248",,
PsRatio,"13.209","7.86",
PbRatio,"5.65","4.591",
EnterprisesValueRevenueRatio,"16.125","12.732","15.382"
EnterprisesValueEBITDARatio,"103.093","4,389.824","-5.955"
