name,ttm,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007
MarketCap,"23,522,645,300","19,560,903,000","16,721,115,000","18,753,633,000","14,524,469,000","14,828,615,135","13,572,578,072","8,802,740,000","7,713,160,000","5,911,182,000","4,975,980,000","3,222,150,824","2,656,520,478","2,977,459,000","2,461,260,000","2,309,594,000","2,955,420,000","2,664,258,580"
EnterpriseValue,"27,120,645,300","23,555,803,000","20,896,715,000","20,428,033,000","16,529,069,000","15,710,915,135","14,423,578,072","9,799,840,000","8,178,260,000","6,230,382,000","5,255,680,000","3,564,450,824","3,002,020,478","3,260,259,000","2,372,760,000","2,106,294,000","3,171,320,000","3,392,058,580"
PeRatio,"34.796","35.467","30.525","36.711","35.647","30.184","33.953","29.631","26.29","23.814","20.214","20.929","17.293","17.963","11.759","10.494","15.478","13.336"
ForwardPeRatio,"23.31","21.645","19.57","24.876","23.256","24.938","25.907","21.834","20.833","18.116","15.601","12.642","11.299","15.408","26.178",,,
PegRatio,"1.866","2.183","1.621","2.022","3.597",,"2.592",,,,"1.56","1.265","1.13","1.926",,,,
PsRatio,"3.763","3.31","3.059","3.933","3.381","3.412","3.173","2.429","2.79","2.347","2.035","1.42","1.187","1.425","1.199","1.092","1.345","1.274"
PbRatio,"11.376","9.786","9.182","11.803","12.078","11.529","11.521","9.341","8.545","6.577","5.536","4.102","3.315","3.734","3.05","2.541","3.963","6.261"
EnterprisesValueRevenueRatio,"4.291","3.887","3.66","4.091","3.65","3.602","3.331","2.366","2.823","2.313","2.055","1.466","1.303","1.505","1.074","1.016","1.437","1.587"
EnterprisesValueEBITDARatio,"20.384","19.037","19.127","20.956","19.708","19.025","18.808","14.54","14.059","11.561","10.757","8.773","10.445","9.674","6.045","5.088","7.285","8.065"
