name,ttm,12/31/2023,12/31/2022
MarketCap,"3,658,318,548","4,220,264,781","3,932,833,774"
EnterpriseValue,"5,519,318,548","6,881,264,781","6,651,833,774"
ForwardPeRatio,"10.122","11.223","11.877"
PsRatio,"1.093","1.208",
PbRatio,"0.846","0.957","0.92"
EnterprisesValueRevenueRatio,"1.644","2.029","2.124"
EnterprisesValueEBITDARatio,"24.974","18.253","13.974"
