name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2010,12/31/2009,12/31/2007
MarketCap,"30,119,070,143","26,828,432,513","18,287,603,769","20,034,587,732","20,576,740,410","21,811,787,623","14,365,017,920","16,463,715,199","13,026,453,405","17,184,522,321","14,423,224,054","13,628,620,537","10,864,749,116","8,472,043,445","8,472,043,445","2,108,028,761"
EnterpriseValue,"38,746,655,263","34,337,819,246","25,185,044,968","24,474,020,218","25,345,292,809","27,515,690,965","19,680,722,985","22,453,011,585","19,623,129,061","24,929,459,795","22,558,396,820","22,793,456,399","18,112,045,927","35,523,441,100","41,176,017,036","47,376,016,472"
PeRatio,"39.757","106.919","11.524",,"140.477","382.966","96.864","28.789","24.796","25.755","23.21","13.727",,"2.366",,
ForwardPeRatio,"45.249","53.192","67.568","78.125","120.482","45.872","30.395","38.023","31.447","31.646","31.153","21.142",,,,
PsRatio,"3.263","2.804","2.295","2.722","2.62","3.387","1.029","1.136","1.209","1.661","1.356","1.24",,"0.421","0.393",
PbRatio,"7.785","6.385","4.24","5.8","5.009","4.732","2.347","2.66","2.231","2.684","2.015","1.698",,"1.226","1.98",
EnterprisesValueRevenueRatio,"4.203","3.727","3.186","3.319","3.229","4.288","1.419","1.535","1.827","2.388","2.117","2.074","2.374","2.195","2.376","3.238"
EnterprisesValueEBITDARatio,"21.526","30.687","28.09","15.8","44.126","42.134","19.485","13.619","15.353","15.428","14.292","11.575","13.826","5.847","10.543","12.173"
