name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
MarketCap,"3,446,612,031","3,277,020,233","2,261,059,266","2,282,295,396","1,550,891,105","1,377,649,750","1,246,456,210","1,994,167,703","1,438,884,908","957,906,367","1,504,526,275","1,207,832,068","846,649,427","678,495,264","849,184,715","532,260,167","436,723,693","662,995,544","696,842,706","572,658,420","608,288,728","282,669,728","81,665,208"
EnterpriseValue,"3,733,612,031","3,605,820,233","2,987,159,266","2,450,795,396","1,611,991,105","1,941,849,750","1,606,856,210","2,378,667,703","2,110,384,908","1,552,106,367","1,922,026,275","1,603,132,068","1,236,249,427","1,074,395,264","1,015,084,715","585,860,167","542,623,693","719,495,544","745,042,706","660,558,420","665,088,728","358,169,728","170,765,208"
PeRatio,"323.216",,"12.365","34.613",,"101.333","16.511","4.036",,,"68.217","47.254","21.526","14.991","14.041",,"8.48","18.136","22.14","12.712","18.481","8.665",
ForwardPeRatio,"22.173","20.79","15.106","17.483","28.249","23.202",,"25.51","27.855","19.493","20.121","19.048","12.547","11.211","12.346",,,,,,,,
PegRatio,,,,,"1.478","3.87",,"1.646","3.479","3.543","1.341","1.269","0.837","0.723","0.772",,,,,,,,
PsRatio,"3.268","3.038","1.691","2.006","1.433","0.926","0.851","1.637","1.198","0.861","1.351","1.149","0.746","0.692","0.995","0.658","0.389","0.665","0.804","0.683","0.756","0.394","0.115"
PbRatio,"2.445","2.328","1.785","2.001","1.455","1.572","1.39","2.301","3.747","1.98","2.247","2.106","1.548","1.294","1.783","1.708","1.1","1.395","1.218","1.113","1.277","0.647","0.211"
EnterprisesValueRevenueRatio,"3.525","3.404","2.718","2.916","2.015","1.611","1.261","2.16","1.777","1.289","1.576","1.401","1.044","0.972","1.174","0.73","0.546","0.699","0.803","0.788","0.805","0.491","0.24"
EnterprisesValueEBITDARatio,"21.07","20.349","17.887","16.786","32.5","21.153","14.648","3.629","47.638","16.816","14.216","11.659","7.622","6.968","6.781","-4.024","5.299","6.769","-3.485","5.769","7.524","4.002","2.395"
