name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
MarketCap,"1,736,927,871","1,762,922,465","2,208,997,356","2,869,685,980","2,984,331,730","2,555,464,671","1,173,326,511","1,118,079,323","1,250,585,957","505,661,156","590,576,599","1,146,321,816","2,354,321,113","1,765,866,006","1,475,954,071","360,118,792","133,391,299"
EnterpriseValue,"1,751,724,871","1,824,723,465","2,303,607,356","2,876,907,980","2,887,584,730","2,593,741,671","1,246,607,511","1,028,747,323","1,168,672,957","531,084,156","650,497,599","1,149,450,816","2,312,546,113","1,674,481,006","1,438,576,862","361,721,257","134,477,235"
PeRatio,,,,"71.197",,,,"224.667",,,,"17.5","25.557","18.507","39.25","58.862",
ForwardPeRatio,"18.416","30.303","52.083","24.096","26.385","71.429","45.872","55.249","38.61",,"15.244","13.123","12.136",,,,
PsRatio,"3.195","2.902","3.178","5.296","8.15","6.975","3.509","4.161","4.075","1.529","2.288","3.999","8.599","7.969","11.888","5.948","4.133"
PbRatio,"1.267","1.318","1.703","2.075","3.714","3.852","1.552","1.757","2.021","0.938","1.011","1.767","3.972","5.452","5.819","1.919","1.031"
EnterprisesValueRevenueRatio,"3.318","3.106","3.367","5.765","8.341","7.43","4.204","3.799","3.867","2.076","2.527","3.985","8.727","7.356","11.914","6.365","3.692"
EnterprisesValueEBITDARatio,"20.237","-33.484","15.572","21.227","122.918","64.484","-7.909","13.636","10.705","-11.609","15.192","9.126","16.606","11.494","24.697","33.124","319.713"
