name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"2,574,950,213","2,338,058,548","4,571,804,523","5,627,308,371"
EnterpriseValue,"6,448,108,213","6,370,245,548","8,086,481,523","8,051,547,371"
PeRatio,,,,"137.272"
ForwardPeRatio,"12.547","12.092","20.325","34.364"
PsRatio,"1.076","1.02","2.414","4.117"
PbRatio,"2.674","2.656","2.923","3.361"
EnterprisesValueRevenueRatio,"2.768","2.782","4.289","5.903"
EnterprisesValueEBITDARatio,"16.085","-12.536","35.06","30.755"
