name,ttm,12/31/2022,12/31/2019
MarketCap,"344,803,272","1,306,818","23,474,925"
EnterpriseValue,"335,004,222","118,253","20,839,646"
PeRatio,"101.28",,
PsRatio,"240.679","18.838",
PbRatio,"3.234","138.484",
EnterprisesValueRevenueRatio,"101.458","0.063","6.066"
EnterprisesValueEBITDARatio,"-53.317","1.037","-6.228"
