name,ttm,12/31/2023
MarketCap,"1,514,943,041","1,125,195,334"
EnterpriseValue,"2,057,943,041","1,725,195,334"
PeRatio,"22.551",
ForwardPeRatio,"9.259","8.532"
PegRatio,"0.52",
PsRatio,"0.566","0.408"
PbRatio,"4.794","5.753"
EnterprisesValueRevenueRatio,"0.757","0.625"
EnterprisesValueEBITDARatio,"10.188","95.844"
