name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989
MarketCap,"11,797,716,150","11,290,939,241","12,868,309,439","13,574,422,400","17,540,096,225","10,154,295,857","7,896,090,272","5,559,053,326","4,389,334,817","4,201,107,755","3,658,453,842","3,425,293,931","2,544,495,897","2,732,486,454","3,097,478,791","2,127,573,081","2,376,541,490","2,990,618,917","2,260,662,532","2,005,065,739","1,773,808,968","1,785,791,610","1,241,716,409","1,172,883,477","1,336,194,577","2,689,829,870","510,895,008","363,169,200","285,518,376","278,479,040","126,562,500","97,954,500","137,189,750","80,991,000","53,871,750","20,757,456","10,350,115"
EnterpriseValue,"12,009,094,150","11,640,357,241","13,185,102,439","13,670,476,400","17,556,513,225","10,392,090,857","8,239,565,272","5,775,119,326","4,633,929,817","4,278,136,755","3,653,518,842","3,205,162,931","2,231,620,897","2,512,881,454","2,956,665,791","1,988,762,081","2,173,654,490","2,883,222,917","2,153,266,532","1,909,646,739","1,691,290,968","1,625,055,610","1,141,300,900","1,082,695,354","1,267,647,290","2,649,764,943","481,795,008","335,769,200","276,918,376","272,779,040","121,262,500","95,954,500","135,189,750","78,591,000","53,471,750","20,557,456","9,950,115"
PeRatio,"78.158","57.32","48.662","63.255","97.883","55.594","66.398","49.983","63.172","40.132","33.723","30.451","22.874","24.248","27.606","19.541","22.953","29.314","27.772","27.524","28.34","34.213","28.102","32.437","41.346","103.175","31.328","24.758","27.011","34.014","19.286","18.75","30.729","37.5","42.188","32.815","16.41"
ForwardPeRatio,"39.216","34.13","34.722","38.314","60.976","50.251","37.594","28.902","29.674",,,"24.155","19.724","19.685","24.631",,,,,,,,,,,,,,,,,,,,,,
PegRatio,"2.726",,,"1.154","3.36",,,,,,,"1.609","1.314","1.312","2.238",,,,,,,,,,,,,,,,,,,,,,
PsRatio,"10.176","10.003","11.785","13.223","21.303","13.754","11.488","9.039","8.133","8.729","8.569","9.928","8.228","8.767","10.688","7.975","9.162","11.799","10.406","9.95","10.516","11.235","8.797","9.529","12.294","26.42","5.775","5.554","4.837","5.223","2.712","2.373","4.711","3.363","3.269","1.656","0.828"
PbRatio,"5.516","5.605","6.81","7.918","11.394","7.864","6.9","5.258","4.834","4.925","4.461","4.408","3.536","4.24","5.285","4.24","5.206","6.139","5.494","5.891","6.622","6.004","5.248","5.703","8.107","19.057","5.278","5.692","5.936","7.867","4.29","4.259","7.707","7.231","9.451","5.063","3.339"
EnterprisesValueRevenueRatio,"10.25","10.085","11.735","12.7","20.707","13.773","11.727","9.325","8.563","8.877","8.554","9.298","7.204","8.005","10.197","7.392","8.235","11.201","9.917","9.425","9.467","10.077","7.87","8.595","11.322","25.518","5.3","4.989","4.547","5.166","2.542","2.381","4.71","3.524","2.89","1.645","0.796"
EnterprisesValueEBITDARatio,"39.947","32.348","29.59","40.04","58.147","30.603","34.322","32.326","27.74","22.368","19.644","18.27","13.118","13.982","17.214","12.093","13.325","19.025","16.911","16.54","16.283","18.401","15.408","16.977","19.688","50.961","13.022","14.288","15.734","20.983","10.925","10.208","16.487","15.41","21.389","25.697","12.438"
