name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
MarketCap,"9,280,886,272","8,519,760,958","6,396,998,481","5,334,604,115","4,760,626,514","6,013,215,491","4,367,919,224","5,377,162,881","4,350,282,702","3,056,562,338","3,381,579,925","2,964,564,702","1,524,951,333","1,649,355,294","1,531,641,031","1,428,949,286","1,501,788,307","2,244,788,882","1,632,388,042","1,186,990,022","1,230,764,650","935,571,378","655,577,739","481,068,118","465,803,520","370,235,040","388,542,066","369,494,950","255,960,456","272,952,656","184,098,936","182,196,000","156,259,387","154,360,500","114,211,227"
EnterpriseValue,"10,069,218,272","9,538,984,958","7,746,212,481","6,273,557,115","5,516,101,514","6,593,292,491","4,935,756,224","5,909,779,881","4,865,071,702","3,767,542,338","4,095,720,925","3,713,207,702","2,293,143,333","2,105,570,294","1,879,257,031","1,829,032,286","1,957,792,307","2,690,172,882","1,975,956,042","1,549,274,022","1,532,216,650","1,062,047,378","759,408,739","435,276,118","435,683,520","373,335,040","423,442,066","372,894,950","259,960,456","280,952,656","193,298,936","176,396,000","146,959,387","178,260,500","130,211,227"
PeRatio,"26.399","24.976","24.813","23.306","20.889","20.243","17.486","25.072","23.758","19.741","20.64","22.963","16.836","12.989","14.435","15.058","13.855","21.638","20.715","16.957","19.01","18.004","14.739","7.777","11.923","9.653","13.52","13.4","15.891","14.372","1,818.8",,"7.18","7.227","16.939"
ForwardPeRatio,"107.527","99.01",,"26.81","25","18.349",,"23.866","22.075","15.773","17.422","17.331","10.753","11.82","13.298","13.55",,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,"8.715","8.663","5.374","1.478","2.101","1.312",,,,,,,,,,,,,,,,,,,
PsRatio,"3.289","3.049","2.628","2.275","2.073","2.453","1.916","2.453","2.094","1.511","1.305","1.232","0.742","0.821","0.812","0.791","0.828","1.418","1.339","1.091","1.295","1.261","1.296","1.425","1.431","1.284","1.577","1.704","1.501","1.724","1.193","1.153","0.867","0.805","0.588"
PbRatio,"3.986","3.895","3.391","2.808","2.646","3.535","2.694","3.646","3.377","2.315","2.117","2.041","1.162","1.322","1.32","1.392","1.733","2.454","2.283","1.923","2.138","1.954","1.594","1.375","1.64","1.433","1.692","1.803","1.396","1.618","1.189","1.263","1.007","1.102","0.927"
EnterprisesValueRevenueRatio,"3.539","3.352","3.029","2.509","2.307","2.65","2.046","2.602","2.307","1.708","1.826","1.753","1.258","1.044","1.013","1.011","1.07","1.69","1.541","1.37","1.604","1.424","1.48","1.268","1.322","1.273","1.698","1.7","1.525","1.82","1.187","1.11","0.818","0.932","0.655"
EnterprisesValueEBITDARatio,"15.967","15.126","14.13","12.458","13.308","12.435","10.008","13.398","12.006","9.144","10.197","10.326","8.326","7.628","7.602","7.411","7.187","11.122","10.323","8.337","10.116","8.802","9.431","7.033","6.549","5.824","9.185","9.537","10.654","11.514","5.253","92.84","4.508","5.258","4.297"
