name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
MarketCap,"867,749,172","1,012,697,379","1,107,616,647","4,079,671,228","5,967,290,955"
EnterpriseValue,"687,895,172","928,852,379","1,094,910,647","3,518,076,228","5,064,587,955"
PsRatio,"14.503","18.47","20.578","3,882,435.554","40,702.141"
PbRatio,"1.207","1.678","1.964","5.764","5.527"
EnterprisesValueRevenueRatio,"19.194","25.917","22.019",,"53,311.452"
EnterprisesValueEBITDARatio,"-0.934","-1.262","-1.617","-5.188","-13.979"
