name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
MarketCap,"1,344,313,787","1,067,967,941","2,174,739,403","3,025,917,574","841,358,016"
EnterpriseValue,"2,493,174,787","2,204,077,941","3,304,155,403","4,008,205,574","841,358,016"
PeRatio,"72.773",,"60.407","154.4",
ForwardPeRatio,"18.282","14.62","21.277","54.348",
PsRatio,"1.136","0.922","1.992","3.66",
PbRatio,"1.429","1.131","2.327","3.463",
EnterprisesValueRevenueRatio,"2.123","1.876","2.947","3.859","1.088"
EnterprisesValueEBITDARatio,"10.646","9.411","12.785","14.007","4.023"
