name,ttm,09/30/2024,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017
MarketCap,"1,372,710,157","1,370,965,058","1,198,526,122","1,101,565,742","1,811,463,665","1,631,667,470","2,019,742,006","2,047,266,788","2,153,684,121"
PeRatio,"4.948","6.49",,,"2.534",,"36.889","6.495",
PsRatio,"5.147","6.578",,,"2.526",,"34.371","6.403",
PbRatio,"0.974","1.073","0.986","0.695","0.974","1.245","0.998","0.951",
EnterprisesValueRevenueRatio,"6.703","8.33",,,"3.537",,"49.071","9.375",
