name,ttm,12/31/2023,12/31/2022
MarketCap,"5,678,122,467","6,010,764,408","5,432,508,935"
EnterpriseValue,"9,909,122,467","10,120,764,408","7,583,508,935"
PeRatio,,,"93.595"
ForwardPeRatio,"88.496","30.303","23.31"
PsRatio,"1.367","1.506","1.439"
PbRatio,"0.829","0.878","0.807"
EnterprisesValueRevenueRatio,"2.39","2.441","2.013"
EnterprisesValueEBITDARatio,"19.858","20.282","12.681"
