name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
MarketCap,"970,188,028","1,038,471,071","747,627,795","981,960,108","649,720,190","708,416,795","456,781,893","462,953,738","504,827,296","555,854,481","667,655,572","576,456,976","457,520,733","283,169,210","366,923,126"
PeRatio,"12.809","11.45",,"4.968",,"12.059","8.47","16.872",,"16.291","7.448","5.828","4.23","12.814","7.316"
ForwardPeRatio,,"6.859","6.618","8.842","9.276","9.643","9.579","10.515","11.751","7.262","6.812","6.506","7.107","5.764","7.199"
PsRatio,"3.033","3.427",,"4.887","2,425.677","4.791","5.644","10.16","287.063","10.54","6.246","5.27","3.988","7.792","5.005"
PbRatio,"0.835","1.066","0.851","1.031","0.897","1.115","0.769","0.739","0.764","0.739","0.829","0.922","0.904","0.75","0.909"
