name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
MarketCap,"22,899,400,424","23,902,878,762","28,463,547,202","34,036,402,260","25,702,713,985","28,269,502,805","23,963,239,882","36,197,368,334","29,979,295,288","26,520,906,388","32,592,819,353","31,860,696,926","21,561,703,440","19,830,535,337","23,246,203,256","21,549,414,996","16,988,712,512","31,366,260,800","22,419,613,864","18,496,165,952","16,388,638,814","17,419,402,118","12,672,150,231","16,911,753,842","20,086,118,962","11,660,281,275","11,176,256,627","9,358,723,131","5,244,819,548","3,707,459,190","2,200,891,532","2,845,304,721","3,283,918,028","2,391,399,365","1,274,653,405","1,414,073,851","928,135,797","745,259,837","819,955,087","684,413,216"
PeRatio,"13.591","11.259","10.972","13.697","11.589","15.632","10.059","16.888","15.926","15.505","16.809","16.642","11.193","12.636","14.997",,"9.147","23.536","21.825","21.08","20.902","24.223","12.581","27.5","29.226","19.329","26.151","25.081","18.154","15.734","11.183","16.448","21.446","17.651","11.178","14.646","11.229","9.259","12.704","13.936"
ForwardPeRatio,"9.97","10.101","9.381","11.223","11.377","12.361","8.554","14.144","13.441","12.361","14.663","13.908","10.741","10.06","12.547",,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"5.537","5.61","3.908","1.193","1.835","4.122","0.778","0.943","1.19","1.373","1.61","1.904","1.394","0.79","1.068",,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"2.073","2.188","2.407","2.772","2.209","2.583","1.994","3.45","3.048","2.65","3.389","3.425","2.344","2.289","2.577","2.328","1.688","3.56","3.71","3.495","3.382","3.689","2.903","4.536","5.927","3.941","4.159","4.119","2.871","2.5","1.725","2.569","3.492","2.751","1.695",,,,,
PbRatio,"1.049","1.081","1.144","1.343","1.113","1.314","1.149","1.859","1.566","1.411","1.636","1.598","1.058","1.026","1.307","1.487","1.56","2.776","3.196","3.03","2.661","3.031","2.647","4.398","6.502","4.397","4.836","4.691","2.955","2.409","1.812","2.575","3.446","2.928","1.834","2.462",,,,
