name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
MarketCap,"8,647,433,135","10,065,079,062","7,908,173,164","9,178,290,000","7,694,205,000","5,446,840,000","3,285,058,747","3,589,541,308","2,498,628,013","2,348,733,999","1,665,081,599","1,609,038,199","1,159,419,600","895,651,264","719,181,399","511,097,400","553,335,612","737,877,840","573,570,799","482,338,359","576,808,800","481,902,499","502,334,259","484,233,059","388,135,446","222,335,802","247,384,374","160,520,345","131,544,000","132,474,999","166,451,999","205,682,999"
EnterpriseValue,"13,339,233,135","14,657,979,062","10,978,373,164","10,831,590,000","9,239,805,000","6,731,240,000","4,038,858,747","4,655,741,308","3,361,928,013","2,889,139,999","2,008,984,599","1,894,993,199","1,337,997,600","1,035,317,264","978,132,399","583,241,400","598,051,612","804,755,840","567,861,799","462,180,359","791,866,800","592,298,499","611,020,259","601,849,059","536,236,446","374,735,802","254,584,374","153,920,345","126,344,000","136,374,999","153,551,999","195,182,999"
PeRatio,"21.375","28.587","16.942","42.789","4,869.75","38.867","16.505","29.27","28.712","56.596","30.942","25.469","19.895","17.148","34.444","29.409","19.34","43.878","25.747","43.726","66.716","20.206","24.318","22.138","15.289","13.118","23.482","17.55","16.59","23.333","28.205","34.936"
ForwardPeRatio,,,,,,,,"36.364","21.787","21.322","83.333","19.881","16.234","18.416","23.419","18.622",,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,"5.573","1.325","1.083","1.227","1.56","1.24",,,,,,,,,,,,,,,,
PsRatio,"3.628","4.343","4.826","6.359","7.334","4.412","3.594","2.846","1.969","2.249","2.1","2.055","1.586","1.289","1.162","1.193","1.316","1.836","1.389","0.956","1.291","1.148","1.161","1.144","0.854","0.761","1.683","1.351","1.245","1.599","3.009","3.727"
PbRatio,"9.677","11.326","12.906","27.091","20.672","9.896","6.382","5.722","3.57","3.066","2.329","2.222","1.8","1.529","1.421","1.256","1.405","2.008","1.624","1.491","2.419","1.89","2.138","2.229","1.879","1.61","3.794","3.006","2.752","2.704","3.666","5.559"
EnterprisesValueRevenueRatio,"5.419","5.954","6.066","6.782","8.766","5.062","4.003","5.275","4.088","3.618","2.474","2.433","1.83","1.486","1.671","1.24","1.389","1.959","1.508","1.297","2.597","1.396","1.392","1.41","1.477","1.45","1.728","1.295","1.171","1.476","2.33","3.53"
EnterprisesValueEBITDARatio,"13.268","14.579","12.545","20.178","49.703","18.277","11.963","17.477","10.609","10.969","12.132","12.346","8.84","6.504","12.135","8.78","7.398","14.138","8.055","9.527","14.929","9.146","9.391","8.575","8.397","8.556","11.117","8.101","7.346","9.277","12.091","18.073"
