name,ttm,02/28/2023,02/28/2022,02/28/2021
MarketCap,"736,146,342","812,019,623","1,206,430,616","2,459,193,191"
EnterpriseValue,"747,827,342","804,537,623","1,120,707,616","2,454,035,191"
PsRatio,"1.815","2.169","3.486","15.718"
PbRatio,"1.693","1.671","1.53","6.358"
EnterprisesValueRevenueRatio,"1.925","2.215","3.615","14.405"
EnterprisesValueEBITDARatio,"-8.106","-6.851","-8.719","-63.634"
