Symbol,PeriodType,MarketCap,FowardPeRatio,PeRatio,PegRatio,PsRatio,PbRatio,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio
MAG,2023-06-30 00:00:00,nan,nan,nan,nan,nan,nan,nan,-339.477037,nan
MAC,TTM,4262147266.0,nan,nan,nan,4.078335,1.546224,9236820266.0,28.2561,10.0597
MAC,2024-12-31 00:00:00,5253694704.0,nan,55.333333,nan,4.885527,2.09173,9552468704.0,53.8286,10.8156
MAC,2024-09-30 00:00:00,4121278861.0,nan,nan,nan,4.469508,1.644936,8674987861.0,21.6855,9.8451
MAC,2024-06-30 00:00:00,3331182300.0,nan,nan,nan,3.793791,1.460894,7562040300.0,59.4308,8.6128
MAC,2024-03-31 00:00:00,3717375067.0,nan,nan,nan,4.200912,1.521549,7932112067.0,41.5901,8.9723
MAC,2023-12-31 00:00:00,3324365371.0,nan,nan,nan,3.804318,1.37003,7583259371.0,16.2255,8.6804
MAA,TTM,19447779788.0,44.4444,37.051225,nan,8.866601,3.260669,24411818788.0,18.7811,11.1418
MAA,2024-12-31 00:00:00,18542058456.0,36.7647,34.813063,nan,8.265265,3.105257,23367803456.0,18.293,10.7023
MAA,2024-09-30 00:00:00,18572278239.0,35.8423,36.113636,nan,8.530527,3.083333,23210320239.0,18.3347,10.6746
MAA,2024-06-30 00:00:00,16660556715.0,34.7222,29.897275,nan,7.696616,2.735787,21230427715.0,16.3022,9.815
MAA,2024-03-31 00:00:00,15358952739.0,30.9598,27.936306,nan,7.143764,2.512433,19885216739.0,15.4636,9.2555
MAA,2023-12-31 00:00:00,15689801384.0,30.6748,26.892,nan,7.330314,2.557721,19922176384.0,15.1442,9.3348
MA,TTM,498494859825.0,34.3643,39.364291,2.1932,17.994667,76.868907,507948859825.0,30.2405,18.0335
MA,2024-12-31 00:00:00,481318419827.0,32.4675,39.801209,2.0214,18.020701,64.693336,488275419827.0,30.2057,17.9342
MA,2024-09-30 00:00:00,454159911189.0,29.7619,37.752294,1.4497,17.523444,61.199287,462406911189.0,28.832,17.5221
MA,2024-06-30 00:00:00,410109129863.0,30.8642,35.068362,1.4893,16.149944,56.410091,418081129863.0,26.5263,16.269
MA,2024-03-31 00:00:00,449252559654.0,33.3333,40.707523,1.6111,18.151455,64.716806,455753559654.0,30.3573,18.159
MA,2023-12-31 00:00:00,399970867776.0,29.9401,37.18483,1.4327,16.667794,63.121588,408044867776.0,27.6847,16.7458
M,TTM,3904462000.0,5.8582,6.792271,0.0698,0.172098,0.857746,8304462000.0,4.7211,0.361
M,2024-10-31 00:00:00,4254908201.0,5.6497,23.6,0.1005,0.182672,0.988824,9620908201.0,7.6844,0.4092
M,2024-07-31 00:00:00,4776390478.0,6.1501,576.0,0.1086,0.203483,1.141039,9932390478.0,9.5965,0.4192
M,2024-04-30 00:00:00,5071139750.0,7.0621,48.5,0.1239,0.214834,1.225801,10021139750.0,8.6688,0.4199
M,2024-01-31 00:00:00,5012801077.0,6.3492,7.465306,nan,0.212383,1.209653,10839801077.0,5.7022,0.453
M,2023-10-31 00:00:00,3332864689.0,4.1288,4.511111,nan,0.138981,0.791654,8866864689.0,4.476,0.364
LZB,TTM,1720506254.0,nan,14.319588,nan,0.847734,1.68467,1894113254.0,6.3589,0.9055
LZB,2025-01-31 00:00:00,1957902964.0,nan,16.275862,nan,0.973373,1.938662,2144881964.0,7.2738,1.0359
LZB,2024-10-31 00:00:00,1584668350.0,nan,13.540925,nan,0.795518,1.585923,1726654350.0,5.8269,0.8378
LZB,2024-07-31 00:00:00,1854542100.0,nan,15.597173,nan,0.933246,1.848877,1995195100.0,6.8589,0.9747
LZB,2024-04-30 00:00:00,1393729600.0,nan,12.162963,nan,0.693866,1.424761,1560155600.0,5.5509,0.7593
LZB,2024-01-31 00:00:00,1483358530.0,nan,12.521583,nan,0.71012,1.538302,1637585530.0,5.7039,0.7699
LZ,TTM,1720396505.0,13.9082,61.0625,nan,2.620092,18.447907,1586211505.0,19.683,2.3262
LZ,2024-12-31 00:00:00,1297894797.0,11.8624,57.769231,nan,2.071338,21.581941,1193464797.0,15.5492,1.7581
LZ,2024-09-30 00:00:00,1099654900.0,nan,57.727273,nan,1.815634,18.09774,988744900.0,14.731,1.4594
LZ,2024-06-30 00:00:00,1578963005.0,nan,83.9,nan,2.444758,8.799841,1359310005.0,19.8049,2.0318
